religion,page,text
islam,Hajj,"After the sacrifice of cattle (which can be accomplished by using a voucher), the pilgrims then are required to either shave or trim their heads (if male) or trim the ends of their hair (if female). A celebration of the four-day global festival of Eid al-Adha follows."
islam,Hajj,"Muslims may also undertake an Umrah (Arabic: عُمرَة), or ""lesser pilgrimage"" to Mecca at other times of the year. However, the Umrah is not a substitute for the Hajj and Muslims are still obliged to perform the Hajj at some other point in their lifetime if they have the means to do so."
islam,Hajj,"According to the official published statistics between 2000 and 2019, the average number of attendees is 2,269,145 per year, of whom 1,564,710 come from outside Saudi Arabia and 671,983 are domestic pilgrims. The year 2012 marks the highest number of participants with 3,161,573."
islam,Hajj,"In June 2020, while not cancelling the Hajj outright, the Saudi Government announced that they would only welcome ""very limited numbers"" of pilgrims who are residents of Saudi Arabia due to the global COVID-19 pandemic. Similar restrictions applied in 2021, but women were permitted to attend without a male guardian (mahram) provided they went in a trustworthy group."
islam,Islamophobia,"Islamophobia, also referred to as anti-Muslim or anti-Islamic sentiment, is the irrational fear of, hostility towards, or hatred of the religion of Islam or Muslims in general. Islamophobia is characterised as a form of religious or cultural bigotry in which Muslims are stereotyped as a geopolitical threat or a source of terrorism."
islam,Islamophobia,"Muslims, with diverse ethnic and cultural backgrounds on a worldwide scale, are often inaccurately portrayed by Islamophobes as a single homogeneous racial group. The causes of increased Islamophobia across the world since the end of the Cold War are many."
islam,Islamophobia,"These include the quasi-racialist stereotypes against Muslims that proliferated through the Western media since the 1990s, the ""war on terror"" campaign launched by the United States after the September 11 attacks, the rise of the Islamic State in the aftermath of the Iraq War, terrorist attacks carried out by Islamist militants in the United States and Europe, anti-Muslim rhetoric disseminated by white nationalist organizations through the internet, and the radicalisation of Christian nationalist and far-right groups with growing hostility towards Muslims in the United States and the European Union. A study conducted in 2013 revealed that Muslim women, especially those wearing headscarves or face veils, are more vulnerable to suffer from Islamophobic attacks than Muslim men."
islam,Islamophobia,"Due to the racialised nature of Islamophobic discrimination and attacks suffered by numerous Muslims in their daily lives, several scholars have asserted that Islamophobia has explicit racist dimensions. On 15 March 2022, the United Nations General Assembly adopted a resolution by consensus which was introduced by Pakistan on behalf of the Organisation of Islamic Cooperation that proclaimed March 15 as 'International Day To Combat Islamophobia'."
islam,Islamophobia,"The exact definition of the term ""Islamophobia"" has been a subject of debate amongst Western analysts. Detractors of the term have proposed alternative terms, such as ""anti-Muslim"", to denote prejudice or discrimination against Muslims."
islam,Islamophobia,"It has been alleged, often by right-wing commentators, that the term is sometimes used to avoid criticism of Islam, by removing the distinction between racism and criticism of religious doctrine or practice. However, academics, activists and experts who support the terminology have denounced such characterisations as attempts to deny the existence of Islamophobia."
islam,Jihad,"Jihad (; Arabic: جِهَاد, romanized: jihād [d͡ʒɪˈhæːd]) is an Arabic word that means 'exerting', 'striving', or 'struggling', particularly with a praiseworthy aim. In an Islamic context, it encompasses almost any effort to make personal and social life conform with God's guidance, such as an internal struggle against evil in oneself, efforts to build a good Muslim community (ummah), and struggle to defend Islam."
islam,Jihad,"For its literal translation 'struggle', the term is frequently associated with warfare. Jihad is classified into inner (""greater"") jihad, which involves a struggle against one's own passions and impulses, and outer (""lesser"") jihad, which is further subdivided into jihad of the pen/tongue (debate or persuasion) and jihad of the sword (warfare)."
islam,Jihad,"Much of Muslim opinion considers inner jihad to have primacy over outer jihad. The analysis of a large survey from 2002 reveals considerable nuance in the conceptions of jihad held by Muslims around the world, ranging from righteous living and promoting peace to fighting against the opponents of Islam."
islam,Jihad,"The word jihad appears frequently in the Qur'an referring to both religious and spiritual struggle and to war and physical struggle, often in the idiomatic expression ""al-jihad fi sabil Allah"" ('striving in the path of God'), conveying a sense of self-exertion. In the hadiths, jihad refers predominantly to warfare."
islam,Jihad,"Greater jihad refers to spiritual and moral struggle, and has traditionally been emphasized in Sufi and Ahmadiyya circles. The sense of jihad as armed resistance was first used in the context of persecution faced by Muslims when Muhammad was at Mecca, when the community had two choices: further emigration (hijrah) or war."
islam,Jihad,"The Qur'an justifies war in self-defense or in response to aggression towards other Muslims, however the sword verses have historically been interpreted to abrogate other verses and justify offensive war against unbelievers, forcibly converting polytheistic pagans during the early Muslim conquests. A set of rules pertaining to jihad were developed, including prohibitions on harming those who are not engaged in combat, on killing animals such as horses, and on unnecessary destruction of enemy property."
islam,Jihad,"In the twentieth century, the notion of jihad lost its jurisprudential relevance and instead gave rise to ideological and political discourse. While modernist Islamic scholars have emphasized the defensive and non-military aspects of jihad, some Islamists have advanced aggressive interpretations that go beyond the classical texts."
islam,Jihad,"The term has gained additional attention in recent decades through its use by various insurgent Islamic extremist, militant Islamist, and terrorist individuals and organizations. Today, the word jihad is often used without religious connotations, like the English crusade."
christianity,Christianity,"Christianity is an Abrahamic monotheistic religion based on the Bible and the teachings of Jesus. The Gospels state that Jesus is the Son of God and rose from the dead after his crucifixion, whose coming as the messiah (Christ) was prophesied in the Old Testament and chronicled in the New Testament."
christianity,Christianity,"It is the world's largest and most widespread religion with over 2.3 billion followers, comprising around 28.8% of the world population. Its adherents, known as Christians, are estimated to make up a majority of the population in 120 countries and territories."
christianity,Christianity,"Christianity remains culturally diverse in its Western and Eastern branches, and doctrinally diverse concerning justification and the nature of salvation, ecclesiology, ordination, and Christology. Most Christian denominations, however, generally hold in common the belief that Jesus is God the Son—the Logos incarnated—who ministered, suffered, and died on a cross, but rose from the dead for the salvation of humankind; this message is called the gospel, meaning the ""good news""."
christianity,Christianity,"The four canonical gospels of Matthew, Mark, Luke and John describe the life of Jesus and teachings as preserved in the early Christian tradition, with the Old Testament as the gospels' respected background. Christianity began in the 1st century, after the death of Jesus, as a Judaic sect with Hellenistic influence in the Roman province of Judaea."
christianity,Christianity,"The disciples of Jesus spread their faith around the Eastern Mediterranean area, despite significant persecution. The inclusion of Gentiles led Christianity to slowly separate from Judaism in the 2nd century."
christianity,Christianity,"Emperor Constantine I decriminalized Christianity in the Roman Empire in 313 with the Edict of Milan. In 325, Constantine convened the Council of Nicaea, where the Nicene Creed was adopted, and where Early Christianity was consolidated into what would become the state religion by around 380."
christianity,Christianity,"The Church of the East and Oriental Orthodoxy both split over differences in Christology during the 5th century, while the Eastern Orthodox Church and the Catholic Church separated in the East–West Schism in 1054. Protestantism split into numerous denominations from the Catholic Church during the Reformation era (16th century)."
christianity,Christianity,"Following the Age of Discovery (15th–17th century), Christianity expanded globally via missionary work, evangelism, immigration, and trade. Christianity played a prominent role in the development of Western civilization, particularly in Europe from late antiquity and the Middle Ages."
christianity,Christianity,"The three main branches of Christianity are Catholicism (1.3 billion people), Protestantism (800 million), and Eastern Orthodoxy (300 million), while other prominent branches include Oriental Orthodoxy (60 million) and Restorationism (35 million). Smaller church communities number in the thousands."
christianity,Christianity,"In Christianity, efforts toward unity (ecumenism) are underway. In the West, Christianity remains the dominant religion even with a decline in adherence, with about 70% of that population identifying as Christian."
christianity,Christianity,"Christianity is growing in Africa and Asia, the world's most populous continents. Many Christians are still persecuted in some regions of the world, particularly where they are a minority, such as in the Middle East, North Africa, East Asia, and South Asia."
christianity,Jesus,"6 to 4 BC – AD 30 or 33), also referred to as Jesus Christ, Jesus of Nazareth, and by various other names and titles, was a 1st-century Jewish preacher and religious leader in the Roman province of Judaea. He is the central figure of Christianity, the world's largest religion."
christianity,Jesus,"Most branches of Christianity consider Jesus the incarnation of God the Son and the awaited Messiah or Christ. Accounts of Jesus's life are contained in the Gospels, especially the four canonical Gospels of the New Testament."
christianity,Jesus,"Since the Enlightenment, academic research has produced various views on the historical reliability of the Gospels and the extent to which they reflect the historical Jesus, but virtually all modern scholars of antiquity agree that Jesus existed historically. According to Christian tradition, as represented in the Gospels and the Acts of the Apostles, Jesus was circumcised at eight days old, presented at the Temple in Jerusalem at 40 days old, baptized by John the Baptist as a young adult, and, after 40 days and nights of fasting in the wilderness, began his public ministry."
christianity,Jesus,"He was an itinerant teacher whom his followers believed to possess divine authority in interpreting Jewish law. Jesus often debated with other Jews, most commonly the Pharisees and Sadducees, about how best to follow God, engaged in healings, taught in parables, and gathered followers, 12 of whom he appointed as his apostles."
christianity,Jesus,"According to the New Testament accounts, he was arrested in Jerusalem and tried by the Sanhedrin, handed over to the Roman authorities, and crucified on the order of Pontius Pilate, the Roman prefect of Judaea. In Christian theology, the Resurrection is the event in which Jesus rose from the dead, on the third day after his death, and this belief became the foundation of the early Christian Church, which expanded into a worldwide movement."
christianity,Jesus,"Christian theology includes the beliefs that Jesus was conceived by the Holy Spirit, was born of a virgin named Mary, performed miracles, founded the Christian Church, died by crucifixion as a sacrifice for atonement for sin, was resurrected by God the Father, and ascended into Heaven, from where he will return. Christians commonly believe that Jesus enables people to be reconciled to God."
christianity,Jesus,"The Nicene Creed asserts that Jesus will judge the living and the dead, either before or after their bodily resurrection, an event associated with the Second Coming of Jesus in Christian eschatology. Many branches of Christianity consider Jesus as the incarnation of God the Son, the second of the three persons of the Trinity."
christianity,Jesus,"The birth of Jesus in Bethlehem is celebrated annually, generally on 25 December, as Christmas. His crucifixion is commemorated on Good Friday and his resurrection on Easter Sunday."
christianity,Jesus,"The world's most widely used calendar era—in which the current year is AD 2026 (or 2026 CE)—is traditionally based on the approximate date of the birth of Jesus. Mainstream Judaism rejects the belief that Jesus was the awaited messiah, holding that he did not fulfil messianic prophecies, was not lawfully anointed, and was neither divine nor resurrected."
christianity,Jesus,"In contrast, Jesus in Islam is considered the messiah and a prophet of God, who was sent to the Israelites and will return to Earth before the Day of Judgement. Muslims believe that Jesus was born of the virgin Mary but was neither God nor the son of God."
christianity,Jesus,"Most Muslims do not believe that he was killed or crucified, but that God raised him into Heaven while he was still alive. Jesus is also revered in the Baháʼí and Druze faiths, as well as in Rastafari."
christianity,Bible,"A Bible is a collection of religious texts that is central to Christianity or Judaism, and esteemed in other Abrahamic religions such as Islam. Bibles are anthologies (compilations of texts of a variety of forms) with varying canonical texts across traditions."
christianity,Bible,"The Hebrew Bible was originally written in Hebrew (with some parts in Aramaic) and the second portion of the Christian Bible, known as the New Testament, was originally written in Koine Greek. Biblical texts include instructions, narratives, allegories, poetry, letters, prophecies, and other genres."
christianity,Bible,"The collection of materials accepted as part of the Bible by a particular religious tradition or community is called a biblical canon. Believers generally consider it to be a product of divine inspiration, but the way they understand what that means and how they interpret the text varies."
christianity,Bible,"The religious texts, or scriptures, were compiled by different religious communities into various official collections. The earliest contained the first five books of the Bible, called the Torah ('Teaching') in Hebrew and the Pentateuch (meaning 'five books') in Greek."
christianity,Bible,"The second-oldest part was a collection of narrative histories and prophecies (the Nevi'im). The third collection, the Ketuvim, contains psalms, proverbs, and narrative histories."
christianity,Bible,"Tanakh (Hebrew: תָּנָ״ךְ‎, romanized: Tanaḵ) is an alternate term for the Hebrew Bible. The Masoretic Text is the medieval version of the Tanakh—written in Hebrew and Aramaic—that is considered the authoritative text of the Hebrew Bible by modern Rabbinic Judaism."
christianity,Bible,"The Septuagint is a Koine Greek translation of the Tanakh from the third and second centuries BCE; it largely overlaps with the Hebrew Bible. Christianity began as an outgrowth of Second Temple Judaism, using the Septuagint as the basis of the first portion of the Christian Bible, known as the Old Testament."
christianity,Bible,"The early Church continued the Jewish tradition of writing and incorporating what it saw as inspired, authoritative religious books. The gospels, which are narratives about the life and teachings of Jesus, along with the Pauline epistles and other texts quickly coalesced into the New Testament."
christianity,Bible,"The oldest parts of the Bible may be as early as c. 1200 BCE, while the books of the New Testament were mostly written in the 1st century CE."
christianity,Bible,"With estimated total sales of over five billion copies, the Christian Bible is the best-selling publication of all time. Biblical texts have had a profound influence both on Western culture and history and on cultures around the globe."
christianity,Bible,"The study of these texts through biblical criticism has also indirectly impacted culture and history. Some view biblical texts as morally problematic, historically inaccurate, or corrupted by time; others find it a useful historical source for certain peoples and events or a source of ethical teachings."
christianity,Bible,The Christian Bible is currently translated or in the process of being translated into about half of the world's languages.
christianity,Church (building),A church is a building used for Christian worship services and Christian activities. The earliest identified Christian church is a house church founded between AD 233 and AD 256.
christianity,Church (building),"The word church also describes a body or assembly of Christian believers, while ""the Church"" refers to the worldwide Christian religious community. In traditional Christian architecture, the plan view of a church often forms a Christian cross."
christianity,Church (building),"The center aisle and seating create the vertical beam, while the bema and altar form the horizontal arms. Towers or domes rise above the heaven-facing roof line to encourage contemplation of the divine."
christianity,Church (building),"Modern churches employ varied architectural styles, and many buildings originally designed for other purposes have been converted to churches. From the 11th to the 14th centuries, Western Europe experienced a wave of church construction."
christianity,Church (building),"Many churches around the world hold significant historical, national, cultural, and architectural importance. Several are included in the list of UNESCO World Heritage Sites."
christianity,Christmas,"Christmas is an annual celebration commemorating the birth of Jesus Christ, observed primarily on December 25 as a religious and cultural celebration among billions of people around the world. A liturgical feast central to Christianity, Christmas preparation begins on the First Sunday of Advent."
christianity,Christmas,"Advent is followed by Christmastide, which historically in the West lasts twelve days and culminates on Twelfth Night. Christmas Day is a public holiday in many countries and is observed by a majority of Christians; it is also celebrated culturally by many non-Christians and forms an integral part of the annual holiday season."
christianity,Christmas,"The traditional Christmas narrative recounted in the New Testament, known as the Nativity of Jesus, says that Jesus was born in Bethlehem, in accordance with messianic prophecies. When Joseph and Mary arrived in the city, the inn had no room, and so they were offered a stable where the Christ Child was soon born, with angels proclaiming this news to shepherds, who then spread the word."
christianity,Christmas,"There are different hypotheses regarding the date of the birth of Jesus. In the early fourth century, the church fixed the date as December 25, the date of the winter solstice in the Roman Empire."
christianity,Christmas,"It is nine months after Annunciation on March 25, also the Roman date of the spring equinox. Most Christians celebrate on December 25 in the Gregorian calendar, which has been adopted almost universally in the civil calendars used in countries throughout the world."
christianity,Christmas,"However, part of the Eastern Christian Churches celebrate Christmas on December 25 of the older Julian calendar, which currently corresponds to January 7 in the Gregorian calendar. For Christians, celebrating that God came into the world in the form of man to atone for the sins of humanity is more important than knowing Jesus Christ's exact birth date."
christianity,Christmas,"The customs associated with Christmas in various countries have a mix of pre-Christian, Christian, and secular themes and origins. Popular holiday traditions include gift-giving; completing an Advent calendar or Advent wreath; Christmas music and carolling; watching Christmas films; viewing a Nativity play; an exchange of Christmas cards; attending church services; a special meal; and displaying various Christmas decorations, including Christmas trees, Christmas lights, nativity scenes, poinsettias, garlands, wreaths, mistletoe, and holly."
christianity,Christmas,"Additionally, several related and often interchangeable figures, known as Santa Claus, Father Christmas, Saint Nicholas, and Christkind, are associated with bringing gifts to children during the Christmas season and have their own body of traditions and lore. Because gift-giving and many other aspects of the Christmas festival involve heightened economic activity, Christmas has become a significant event and a key sales period for retailers and businesses."
christianity,Christmas,"Over the past few centuries, Christmas has had a steadily growing economic effect in many regions of the world."
christianity,Easter,"Easter, also called Pasch, () Pascha, Pascua, or Resurrection Sunday, is a Christian festival and cultural holiday commemorating the resurrection of Jesus from the dead, described in the Bible's New Testament as having occurred on the third day of his burial following his crucifixion by the Romans at Calvary c. It is the culmination of the Passion of Jesus, preceded by Lent (or Great Lent), a 40-day period of fasting, prayer, and penance."
christianity,Easter,"Easter-observing Christians commonly refer to the last week of Lent, before Easter, as Holy Week. In Western Christian denominations that observe the liturgical calendar, Holy Week begins on Palm Sunday (marking the entrance of Jesus in Jerusalem), includes Spy Wednesday (on which the betrayal of Jesus is mourned), and contains the days of the Easter Triduum including Maundy Thursday, commemorating the Maundy and Last Supper, as well as Good Friday, commemorating the crucifixion and death of Jesus."
christianity,Easter,"In Eastern Christianity, the same events are commemorated with the names of days all starting with ""Holy"" or ""Holy and Great"", and Easter itself might be called Great and Holy Pascha. In both Western and Eastern Christianity, Eastertide—also known as the Easter or Paschal season—begins on Easter Sunday and continues for seven weeks, concluding on the 50th day, Pentecost Sunday."
christianity,Easter,"However, in Eastern Christianity, the leavetaking of the feast occurs on the 39th day, the eve of the Feast of the Ascension. Easter and its related holidays are moveable feasts, not falling on a fixed date; its date is computed based on a lunisolar calendar (solar year plus Moon phase) similar to the Hebrew calendar, generating a number of controversies."
christianity,Easter,"The First Council of Nicaea (325) established common Paschal observance by all Christians on the first Sunday after the first full moon on or after the vernal equinox. Even if calculated on the basis of the Gregorian calendar, the date of that full moon sometimes differs from that of the astronomical first full moon after the March equinox."
christianity,Easter,"Easter is linked to the Jewish Passover by its name (Hebrew: פֶּסַח, pesach; Imperial Aramaic: פָּסחָא, romanized: pascha; whence the term Pascha), by its origin (according to the synoptic Gospels, both the crucifixion and the resurrection took place during the week of Passover) and by much of its symbolism, as well as by its position in the calendar. In most European languages, both the Christian Easter and the Jewish Passover are called by the same name; and in the older English translations of the Bible, as well, the term Easter was used to translate Passover."
christianity,Easter,"The English term may derive from the Anglo-Saxon goddess name Ēostre. Easter traditions vary across the Christian world, and include sunrise services or late-night vigils, exclamations and exchanges of Paschal greetings, flowering the cross, the wearing of Easter bonnets by women, clipping the church, and the decoration and the communal breaking of Easter eggs (a symbol of the empty tomb)."
christianity,Easter,"The Easter lily, a symbol of the resurrection in Western Christianity, traditionally decorates the chancel area of churches on this day and for the rest of Eastertide. In addition to the viewing of Passion Plays during Lent and Easter, many television channels air films related to the resurrection, such as The Passion of the Christ, The Greatest Story Ever Told and The Jesus Film."
christianity,Easter,"Additional customs that have become associated with Easter and are observed by both Christians and some non-Christians include Easter parades, communal dancing (Eastern Europe), the Easter Bunny and egg hunting. There are also traditional Easter foods that vary by region and culture."
christianity,Baptism,"Baptism (from Koine Greek: βάπτισμα, romanized: váptisma, lit. 'immersion, dipping in water') is a Christian rite of initiation almost invariably with the use of water."
christianity,Baptism,"It may be performed by sprinkling or pouring water on the head, or immersing in water (partially or completely), traditionally three times for each person of the Trinity. It is also called christening, although this is typically reserved for the baptism of infants."
christianity,Baptism,"Baptism is regarded as a sacrament in most churches and an ordinance in others, with the synoptic gospels recounting that John the Baptist baptized Jesus. Baptism according to the Trinitarian formula, which is done in most mainstream Christian denominations, is seen as being a basis for Christian ecumenism, the concept of unity amongst Christians."
christianity,Baptism,"In certain Christian denominations, such as the Catholic Churches, Eastern Orthodox Churches, Oriental Orthodox Churches, Assyrian Church of the East, and Lutheran Churches, baptism is the door to church membership, with candidates taking baptismal vows. It has also given its name to the Baptist churches and denominations."
christianity,Baptism,"Certain schools of Christian thought (such as Catholic and Lutheran theology) regard baptism as necessary for salvation (though not without exception), but some writers, such as Huldrych Zwingli (1484–1531), have denied its necessity. Though water baptism is extremely common among Christian denominations, some, such as Quakers, some Unitarians (in particular Unitarian Universalists) and The Salvation Army, do not practice water baptism at all."
christianity,Baptism,"Among denominations that practice baptism, differences occur in the manner and mode of baptizing and in the understanding of the significance of the rite. Most Christians baptize using the Trinitarian formula ""in the name of the Father, and of the Son, and of the Holy Spirit"" (following the Great Commission), but Oneness Pentecostals baptize using Jesus' name only."
christianity,Baptism,"The majority of Christians baptize infants; many others, such as Baptist Churches, regard only believer's baptism as true baptism. In certain denominations, such as the Eastern and Oriental Orthodox Churches, the individual being baptized receives a cross necklace that is worn for the rest of their life, inspired by the Third Council of Constantinople."
christianity,Baptism,"Outside of Christianity, Mandaeans undergo repeated baptism for purification instead of initiation. They consider John the Baptist to be their greatest prophet and name all rivers yardena after the Jordan River."
christianity,Baptism,"The term baptism has also been used metaphorically to refer to any ceremony, trial, or experience by which a person is initiated, purified, or given a name. Martyrdom was identified early in Christian church history as ""baptism by blood"", enabling the salvation of martyrs who had not been baptized by water."
christianity,Baptism,"Later, the Catholic Church identified a baptism of desire, by which those preparing for baptism who die before actually receiving the sacrament are considered saved. In the Methodist tradition, baptism with the Holy Spirit, has referred to the second work of grace, entire sanctification; in Pentecostalism, baptism with the Holy Spirit is identified with speaking in tongues."
christianity,Priest,"A priest is a religious leader authorized to perform the sacred rituals of a religion, especially as a mediatory agent between humans and one or more deities. They also have the authority or power to administer religious rites; in particular, rites of sacrifice to, and propitiation of, a deity or deities."
christianity,Priest,"Their office or position is the ""priesthood"", a term which also may apply to such persons collectively. A priest may have the duty to hear confessions periodically, give marriage counseling, provide prenuptial counseling, give spiritual direction, teach catechism, or visit those confined indoors, such as the sick in hospitals and nursing homes."
christianity,Christian cross,"The Christian cross, representing the crucifixion of Jesus, is a symbol of Christianity. It is related to the crucifix, a cross that includes a corpus (a representation of Jesus's body, usually three-dimensional) and to the more general family of cross symbols."
christianity,Christian cross,"The term cross is now detached from its original specifically Christian meaning, in modern English and many other Western languages. The basic forms of the cross are the Latin cross with unequal arms and the Greek cross with equal arms; there are numerous variants, partly with confessional significance—such as the tau cross, the double-barred cross, triple-barred cross, and cross-and-crosslets—and many heraldic variants, such as the cross potent, cross pattée, and cross moline, cross fleury."
christianity,Catholic Church,"The Catholic Church (Latin: Ecclesia Catholica), also called the Roman Catholic Church, is the largest Christian church, with an estimated 1.28 to 1.41 billion baptized members worldwide as of 2026. It consists of 24 autonomous (sui iuris) churches—the Latin Church and 23 Eastern Catholic Churches—organized into nearly 3,500 dioceses and eparchies governed by bishops."
christianity,Catholic Church,"Throughout history, the church has had a large role in the development of Western civilization. Catholic communities are present worldwide through missions, immigration, and conversions."
christianity,Catholic Church,"The majority of Catholics live in the Global South, reflecting rapid demographic growth in Africa, Asia, and Latin America, as well as secularization in parts of Europe and North America. Catholic doctrine is rooted in the Nicene Creed and holds that the church is the ""one, holy, catholic and apostolic Church"" founded by Jesus Christ."
christianity,Catholic Church,"It teaches that bishops are the successors of the apostles and that the pope—the bishop of Rome—is the successor of Saint Peter the Apostle, entrusted with a unique and primary pastoral role. Leo XIV is the current pope, serving as the head of the church; the Diocese of Rome forms his local jurisdiction, while the Holy See serves as the church's central governing authority through the Roman Curia."
christianity,Catholic Church,"Apostolic teaching is understood to be transmitted through Scripture and sacred tradition, interpreted by the magisterium, the church's teaching authority. Catholic liturgical life includes the Roman Rite, other rites of the Latin Church, and the liturgical traditions of the Eastern Catholic Churches."
christianity,Catholic Church,"Religious orders, monastic communities, and lay movements contribute to a wide range of theological and devotional expressions within Catholicism globally. Among the church's seven sacraments, the Eucharist is seen as the source and summit of the Christian life and is celebrated in the Mass."
christianity,Catholic Church,"Catholics believe that through consecration by a priest, the bread and wine become the body and blood of Christ. The Virgin Mary is venerated as the Mother of God and honored through dogmas such as the Immaculate Conception, perpetual virginity, and Assumption, including devotional practices."
christianity,Catholic Church,"Catholic social teaching emphasizes care for the poor, the sick, and the marginalized. The church operates tens of thousands of educational, medical, and charitable institutions worldwide, becoming the largest non-governmental provider of education and health care."
christianity,Catholic Church,"Its relations with other Christian traditions have been shaped by divisions. The separation between the church and Eastern Orthodox churches within the state Roman church developed gradually and was solidified by the Fourth Crusade, amidst theological and political disputes, especially over papal authority."
christianity,Catholic Church,Earlier schisms occurred with the Church of the East after the Council of Ephesus (431) and with the Oriental Orthodox Churches following the Council of Chalcedon (451). The 16th century Protestant Reformation led to new Christian traditions and prompted the Catholic Counter‑Reformation.
christianity,Catholic Church,"Since the late 20th century, the church has faced criticism on its teachings on sexuality, clerical celibacy, the ordination of women, and its handling of clerical sexual abuse."
christianity,Protestantism,"Protestantism is a form of Christianity that emphasizes justification of sinners through faith alone, the teaching that salvation comes by unmerited divine grace, the priesthood of all believers, and the Bible as the sole infallible source of authority for Christian faith and practice. The five solæ summarize the basic theological beliefs of mainstream Protestantism."
christianity,Protestantism,"Protestants follow the theological tenets of the Protestant Reformation, a movement that began in the 16th century with the goal of reforming the Catholic Church from perceived errors, abuses, and discrepancies. The Reformation began in the Holy Roman Empire in 1517, when Martin Luther published his Ninety-five Theses as a reaction against abuses in the sale of indulgences by the Catholic Church, which purported to offer the remission of the temporal punishment of sins to their purchasers."
christianity,Protestantism,"Luther's statements questioned the Catholic Church's role as negotiator between people and God, especially when it came to the indulgence arrangement, which in part granted people the power to purchase a certificate of pardon for the penalization of their sins. Luther argued against the practice of buying or earning forgiveness, claiming instead that salvation is a gift God gives to those who have faith."
christianity,Protestantism,"Lutheranism spread from Germany into Denmark–Norway, Sweden, Finland, Livonia, and Iceland. Calvinist churches spread in Germany, Hungary, the Netherlands, Scotland, Switzerland, France, Poland and Lithuania, led by Protestant Reformers such as John Calvin, Huldrych Zwingli and John Knox."
christianity,Protestantism,"The political separation of the Church of England from the Catholic Church under King Henry VIII began Anglicanism, bringing England and Wales into this broad Reformation movement, under the leadership of reformer Thomas Cranmer, whose work forged Anglican doctrine and identity. Protestantism is divided into various denominations on the basis of theology and ecclesiology."
christianity,Protestantism,"Protestants adhere to the concept of an invisible church, in contrast to the Catholic, the Eastern Orthodox Church, the Oriental Orthodox Churches, the Assyrian Church of the East, and the Ancient Church of the East, which all understand themselves as the only original church—the ""one true church""—founded by Jesus Christ (though certain Protestant denominations, including historic Lutheranism, hold to this position). A majority of Protestants are members of a handful of Protestant denominational families; Anglicans/Episcopalians, Baptists, Calvinist/Reformed, Lutherans, Methodists and Moravians."
christianity,Protestantism,"Furthermore, Adventists, Pentecostals, Quakers, Plymouth Brethren, independent churches also known as Nondenominational Christianity, and Charismatic Christianity can also be considered part of Protestantism broadly speaking. Independent/Non-Denominational churches are on the rise, having recently expanded rapidly throughout much of the world."
christianity,Protestantism,"These various movements, collectively labeled ""popular Protestantism"" by scholars such as Peter L. Berger, have been called one of the contemporary world's most dynamic religious movements."
christianity,Protestantism,"Historically speaking however, Protestantism includes only the denominations that emerged directly during the Protestant Reformation, thus excluding any denomination that emerged after this period. In 2004, Hans Hillerbrand estimated a total Protestant population of 833,457,000, while the World Christian Database estimated 637,856,000 Protestants and 426,370,000 Independents (mostly non-denominational Pentecostals who do not self-identify as Protestants) in early 2026."
christianity,Pope,"The pope is the bishop of Rome and the head of the worldwide Catholic Church. He is also known as the supreme pontiff, Roman pontiff, or sovereign pontiff."
christianity,Pope,"From the 8th century until 1870, the pope was the sovereign or head of state of the Papal States, and since 1929 of the much smaller Vatican City State. From a Catholic viewpoint, the primacy of the bishop of Rome is largely derived from his role as the apostolic successor to Saint Peter, to whom primacy was conferred by Jesus, who gave Peter the Keys of Heaven and the powers of ""binding and loosing"", naming him as the ""rock"" upon which the Church would be built."
christianity,Pope,"The current pope is Leo XIV, who was elected on 8 May 2025 on the second day of the 2025 papal conclave. While his office is called the papacy, the jurisdiction of the episcopal see is called the Holy See."
christianity,Pope,"The word see comes from the Latin for 'seat' or 'chair' (sede, referring in particular to the one on which the newly elected pope sits during the enthronement ceremony). The Holy See is a sovereign entity under international law; it is headquartered in the distinctively independent Vatican City, a city-state which forms a geographical enclave within the conurbation of Rome."
christianity,Pope,It was established by the Lateran Treaty in 1929 between Fascist Italy and the Holy See to ensure its political and spiritual independence. The Holy See is recognized by its adherence at various levels to international organizations and by means of its diplomatic relations and political accords with many independent states.
christianity,Pope,"According to Catholic tradition, the apostolic see of Rome was founded by Saint Peter and Saint Paul in the first century. The papacy is one of the longest enduring institutions in the world and has been a prominent force in human history."
christianity,Pope,"In ancient times, the popes helped spread Christianity and intervened to find resolutions in various doctrinal disputes. In the Middle Ages, they played a role of secular importance in Western Europe, often acting as arbitrators between Christian monarchs."
christianity,Pope,"In addition to the expansion of Christian faith and doctrine, modern popes are involved in ecumenism and interfaith dialogue, charitable work, and the defence of human rights. Over time, the papacy accrued broad secular and political influence, eventually rivalling those of territorial rulers."
christianity,Pope,"In recent centuries, the temporal authority of the papacy has declined and the office is now largely focused on religious matters. By contrast, papal claims of spiritual authority have been increasingly firmly expressed over time, culminating in 1870 with the proclamation of the dogma of papal infallibility for rare occasions when the pope speaks ex cathedra—literally 'from the chair (of Saint Peter)'—to issue a formal definition of faith or morals."
christianity,Pope,"The pope is considered one of the world's most powerful people due to the extensive diplomatic, cultural, and spiritual influence of his position on both 1.4 billion Catholics and those outside the Catholic faith, and because he heads the world's largest non-government provider of education and health care, with a vast network of charities."
